id,created_at,date,location_lat,location_lng,location_address,total_score,non_normalized_score,client_submission_id,status_label,required_action,people_count_est,shelter_footprint,ratings_details,h3_index,user_id,audio_transcript,submission_source,report_evidence_type,reviewed,image_storage_paths,matched_district
3,"""2026-01-31T05:17:49.836Z""",2026-01-31T05:17:49.073Z,37.7749,-122.4194,"South Van Ness Avenue, Civic Center, San Francisco, California, 94103, United States",100,,,Maintain,,,,[],8a283082800ffff,anonymous,,,,FALSE,[],BAYVIEW
4,"""2026-02-02T16:50:08.878Z""",2026-02-02T16:49:20.256Z,37.7763133,-122.4181543,"Inn at Market, 1412, Market Street, Civic Center, San Francisco, California, 94102, United States",97,,,Excellent,,,,"[{""hazard"":false,""rating"":0,""category"":""RV or other inhabited vehicle"",""explanation"":""No RVs or inhabited vehicles visible in the image.""},{""hazard"":false,""rating"":1,""category"":""Waste & Small Debris"",""explanation"":""The street and sidewalk appear clean with no visible litter or small debris.""},{""hazard"":false,""rating"":0,""category"":""Furniture & Large Debris"",""explanation"":""No furniture or large debris visible in the image.""},{""hazard"":false,""rating"":0,""category"":""Human and Animal Waste"",""explanation"":""No visible signs of human or animal waste in the image.""},{""hazard"":false,""rating"":0,""category"":""Sharps"",""explanation"":""No visible sharps or needles in the image.""},{""hazard"":false,""rating"":0,""category"":""Unsheltered Presence"",""explanation"":""No evidence of unsheltered individuals or encampments in the image.""},{""hazard"":false,""rating"":0,""category"":""Fire & Safety Hazards"",""explanation"":""No visible fire or safety hazards in the image.""},{""hazard"":false,""rating"":0,""category"":""Access Obstruction"",""explanation"":""Sidewalks and crosswalks appear clear and accessible.""},{""hazard"":false,""rating"":0,""category"":""Active Drug Use"",""explanation"":""No evidence of active drug use or paraphernalia visible.""},{""hazard"":false,""rating"":0,""category"":""Public Health Need"",""explanation"":""No visible indicators of unmet sanitation or hygiene needs.""},{""hazard"":false,""rating"":0,""category"":""Animals"",""explanation"":""No animals visible in the image.""},{""hazard"":false,""rating"":0,""category"":""Graffiti"",""explanation"":""No graffiti visible on any surfaces in the image.""}]",8a28308280c7fff,anonymous,,,,FALSE,"[""anonymous/1770051005852_photo_1770051005222_0.jpg""]",BAYVIEW
5,"""2026-02-02T16:51:11.219Z""",2026-02-02T16:50:47.248Z,37.7771386,-122.4182299,"55, Polk Street, Civic Center, San Francisco, California, 94102, United States",97,,,Excellent,,,,"[{""hazard"":false,""rating"":0,""category"":""RV or other inhabited vehicle"",""explanation"":""No RVs or inhabited vehicles visible in the image.""},{""hazard"":false,""rating"":1,""category"":""Waste & Small Debris"",""explanation"":""Small amount of debris visible on the sidewalk and green painted area.""},{""hazard"":false,""rating"":0,""category"":""Furniture & Large Debris"",""explanation"":""No furniture or large debris visible in the image.""},{""hazard"":false,""rating"":0,""category"":""Human and Animal Waste"",""explanation"":""No visible human or animal waste in the image.""},{""hazard"":false,""rating"":0,""category"":""Sharps"",""explanation"":""No visible sharps or needles in the image.""},{""hazard"":false,""rating"":0,""category"":""Unsheltered Presence"",""explanation"":""No visible signs of unsheltered individuals or encampments.""},{""hazard"":false,""rating"":0,""category"":""Fire & Safety Hazards"",""explanation"":""No visible fire or safety hazards in the image.""},{""hazard"":false,""rating"":0,""category"":""Access Obstruction"",""explanation"":""Sidewalk and street appear clear of obstructions.""},{""hazard"":false,""rating"":0,""category"":""Active Drug Use"",""explanation"":""No signs of active drug use or paraphernalia visible.""},{""hazard"":false,""rating"":0,""category"":""Public Health Need"",""explanation"":""No visible indicators of unmet sanitation or hygiene needs.""},{""hazard"":false,""rating"":0,""category"":""Animals"",""explanation"":""No animals visible in the image.""},{""hazard"":false,""rating"":0,""category"":""Graffiti"",""explanation"":""No visible graffiti in the image.""}]",8a28308280c7fff,anonymous,,,,FALSE,"[""anonymous/1770051069173_photo_1770051068880_0.jpg""]",BAYVIEW
6,"""2026-02-02T16:52:06.360Z""",2026-02-02T16:52:05.560Z,37.7771386,-122.4182299,"55, Polk Street, Civic Center, San Francisco, California, 94102, United States",100,,,Maintain,,,,[],8a28308280c7fff,anonymous,,,,FALSE,[],BAYVIEW
7,"""2026-02-02T16:52:46.860Z""",2026-02-02T16:52:46.469Z,37.7771386,-122.4182299,"55, Polk Street, Civic Center, San Francisco, California, 94102, United States",100,,,Maintain,,,,[],8a28308280c7fff,anonymous,,,,FALSE,[],BAYVIEW
8,"""2026-02-02T20:52:45.696Z""",2026-02-02T16:47:49.870Z,37.7749,-122.4194,"South Van Ness Avenue, Civic Center, San Francisco, California, 94103, United States",97,,,Excellent,,,,"[{""hazard"":false,""rating"":0,""category"":""RV or other inhabited vehicle"",""explanation"":""No RVs or inhabited vehicles visible in the image.""},{""hazard"":false,""rating"":1,""category"":""Waste & Small Debris"",""explanation"":""Light litter visible along the curb and in the bike lane.""},{""hazard"":false,""rating"":0,""category"":""Furniture & Large Debris"",""explanation"":""No furniture or large debris visible in the image.""},{""hazard"":false,""rating"":0,""category"":""Human and Animal Waste"",""explanation"":""No visible signs of human or animal waste in the image.""},{""hazard"":false,""rating"":0,""category"":""Sharps"",""explanation"":""No visible sharps or needles in the image.""},{""hazard"":false,""rating"":0,""category"":""Unsheltered Presence"",""explanation"":""No evidence of unsheltered individuals or encampments in the image.""},{""hazard"":false,""rating"":0,""category"":""Fire & Safety Hazards"",""explanation"":""No visible fire or safety hazards in the image.""},{""hazard"":false,""rating"":0,""category"":""Access Obstruction"",""explanation"":""Sidewalk and bike lane appear clear and accessible.""},{""hazard"":false,""rating"":0,""category"":""Active Drug Use"",""explanation"":""No signs of active drug use or paraphernalia visible.""},{""hazard"":false,""rating"":0,""category"":""Public Health Need"",""explanation"":""No visible indicators of unmet sanitation or hygiene needs.""},{""hazard"":false,""rating"":0,""category"":""Animals"",""explanation"":""No animals visible in the image.""},{""hazard"":false,""rating"":0,""category"":""Graffiti"",""explanation"":""No graffiti visible in the image.""}]",,anonymous,,,,FALSE,"[""anonymous/1770065562918_photo_1770065562793_0.jpg""]",BAYVIEW
9,"""2026-02-02T20:52:48.817Z""",2026-02-02T16:47:49.870Z,37.7749,-122.4194,"South Van Ness Avenue, Civic Center, San Francisco, California, 94103, United States",97,,,Excellent,,,,"[{""hazard"":false,""rating"":0,""category"":""RV or other inhabited vehicle"",""explanation"":""No RVs or inhabited vehicles visible in the image.""},{""hazard"":false,""rating"":1,""category"":""Waste & Small Debris"",""explanation"":""Light litter visible along the curb and in the bike lane.""},{""hazard"":false,""rating"":0,""category"":""Furniture & Large Debris"",""explanation"":""No furniture or large debris visible in the image.""},{""hazard"":false,""rating"":0,""category"":""Human and Animal Waste"",""explanation"":""No visible signs of human or animal waste in the image.""},{""hazard"":false,""rating"":0,""category"":""Sharps"",""explanation"":""No visible sharps or needles in the image.""},{""hazard"":false,""rating"":0,""category"":""Unsheltered Presence"",""explanation"":""No evidence of unsheltered individuals or encampments in the image.""},{""hazard"":false,""rating"":0,""category"":""Fire & Safety Hazards"",""explanation"":""No visible fire or safety hazards in the image.""},{""hazard"":false,""rating"":0,""category"":""Access Obstruction"",""explanation"":""Sidewalk and bike lane appear clear and accessible.""},{""hazard"":false,""rating"":0,""category"":""Active Drug Use"",""explanation"":""No signs of active drug use or paraphernalia visible.""},{""hazard"":false,""rating"":0,""category"":""Public Health Need"",""explanation"":""No visible indicators of unmet sanitation or hygiene needs.""},{""hazard"":false,""rating"":0,""category"":""Animals"",""explanation"":""No animals visible in the image.""},{""hazard"":false,""rating"":0,""category"":""Graffiti"",""explanation"":""No graffiti visible in the image.""}]",,anonymous,,,,FALSE,"[""anonymous/1770065567054_photo_1770065566219_0.jpg""]",BAYVIEW
11,"""2026-02-02T21:08:26.176Z""",2026-02-02T21:08:10.949Z,37.7749,-122.4194,"South Van Ness Avenue, Civic Center, San Francisco, California, 94103, United States",94,,,Excellent,,,,"[{""hazard"":false,""rating"":0,""category"":""RV or other inhabited vehicle"",""explanation"":""No RVs or inhabited vehicles visible in the image.""},{""hazard"":false,""rating"":0,""category"":""Waste & Small Debris"",""explanation"":""No visible waste or small debris in the image.""},{""hazard"":false,""rating"":0,""category"":""Furniture & Large Debris"",""explanation"":""No furniture or large debris visible in the scene.""},{""hazard"":false,""rating"":0,""category"":""Human and Animal Waste"",""explanation"":""No visible signs of human or animal waste in the image.""},{""hazard"":false,""rating"":0,""category"":""Sharps"",""explanation"":""No visible sharps or needles in the image.""},{""hazard"":false,""rating"":1,""category"":""Unsheltered Presence"",""explanation"":""One person appears to be lying on the sidewalk, indicating potential unsheltered presence.""},{""hazard"":false,""rating"":0,""category"":""Fire & Safety Hazards"",""explanation"":""No visible fire or safety hazards in the image.""},{""hazard"":false,""rating"":0,""category"":""Access Obstruction"",""explanation"":""Sidewalks and streets appear clear and unobstructed.""},{""hazard"":false,""rating"":0,""category"":""Active Drug Use"",""explanation"":""No visible signs of active drug use in the image.""},{""hazard"":false,""rating"":1,""category"":""Public Health Need"",""explanation"":""The presence of a person lying on the sidewalk suggests a potential public health concern.""},{""hazard"":false,""rating"":0,""category"":""Animals"",""explanation"":""No animals visible in the image.""},{""hazard"":false,""rating"":0,""category"":""Graffiti"",""explanation"":""No visible graffiti in the image.""}]",8a283082800ffff,anonymous,,,,FALSE,"[""anonymous/1770066502813_photo_1770066501755_0.jpg""]",BAYVIEW
12,"""2026-02-02T21:09:41.982Z""",2026-02-02T21:09:34.091Z,37.7749,-122.4194,"South Van Ness Avenue, Civic Center, San Francisco, California, 94103, United States",100,,,Maintain,,,,[],8a283082800ffff,anonymous,,,,FALSE,"[""anonymous/1770066579833_photo_1770066579545_0.jpg""]",BAYVIEW
13,"""2026-02-02T21:10:33.561Z""",2026-02-02T21:10:07.958Z,37.78093765,-122.4191795,"SPRO, 525, Golden Gate Avenue, Civic Center, San Francisco, California, 94102, United States",100,,,Maintain,,,,[],8a283082874ffff,anonymous,,,,FALSE,"[""anonymous/1770066631607_photo_1770066631331_0.jpg""]",BAYVIEW
